Region,Contract,Month,Product,age,Insurance,Start,Paid,End
Seoul,Lease,12,A,26,Liability,2023-03-18,777000 ,2023-12-12
Seoul,Lease,6,A,30,Swing,2023-01-04,925800 ,2023-07-03
Seoul,Lease,12,A,21,Liability,2023-01-04,777000 ,2023-09-26
Seoul,Lease,12,A,30,Liability,2023-01-04,600000 ,2023-03-20
Seoul,Lease,12,A,30,Swing,2023-01-03,780000 ,2023-12-15
Seoul,Lease,12,A,26,Swing,2023-01-03,849000 ,2023-11-23
Seoul,Lease,12,A,26,Swing,2023-01-03,849000 ,2023-11-23
Seoul,Lease,12,A,30,Liability,2023-01-06,600000 ,2023-02-20
Seoul,Lease,12,A,30,Liability,2023-01-06,579000 ,2023-08-07
Seoul,Lease,12,A,21,Liability,2023-01-04,639000 ,2024-01-03
Seoul,Lease,12,A,26,Liability,2023-01-04,777000 ,2024-01-03
Seoul,Lease,12,A,21,Swing,2023-01-06,723000 ,2024-01-05
Seoul,Lease,12,A,21,Liability,2023-01-09,606000 ,2024-01-08
Seoul,Lease,6,A,30,Liability,2023-01-11,1003800 ,2023-07-10
Seoul,Lease,6,A,30,Liability,2023-01-11,1003800 ,2023-07-10
Seoul,Lease,6,A,24,Liability,2023-01-04,1161000 ,2023-07-03
Seoul,Lease,12,A,26,Liability,2023-01-06,657000 ,2023-02-20
Seoul,Lease,12,A,30,Liability,2023-01-09,717000 ,2023-06-30
Seoul,Lease,12,A,30,Swing,2023-01-09,780000 ,2024-01-08
Seoul,Lease,6,A,30,Swing,2023-01-09,1092000 ,2023-07-08
Honam,Lease,12,A,30,Swing,2023-01-09,849000 ,2024-01-08
Seoul,Lease,6,A,30,Liability,2023-01-25,1014000 ,2023-07-24
Seoul,Lease,6,A,30,Liability,2023-01-09,1014000 ,2023-07-08
Seoul,Lease,12,A,24,Liability,2023-01-09,726000 ,2024-01-08
Seoul,Lease,12,A,26,Liability,2023-01-11,678000 ,2023-11-09
Seoul,Lease,12,A,30,Liability,2023-01-11,621000 ,2023-11-09
Seoul,Lease,12,A,26,Liability,2023-01-09,777000 ,2024-01-08
Seoul,Lease,12,A,30,Liability,2023-01-09,717000 ,2024-01-08
Seoul,Lease,12,A,30,Liability,2023-01-09,717000 ,2024-01-08
Seoul,Lease,12,A,30,Liability,2023-01-10,717000 ,2024-01-09
Seoul,Lease,12,A,26,Swing,2023-01-06,585000 ,2024-01-05
Seoul,Lease,12,A,30,Liability,2023-01-10,717000 ,2024-01-09
Seoul,Lease,12,A,30,Liability,2023-01-10,717000 ,2024-01-09
Seoul,Lease,6,A,26,Swing,2023-01-10,1188600 ,2023-07-09
Seoul,Lease,6,A,30,Swing,2023-01-10,1092000 ,2023-07-09
Seoul,Lease,6,A,21,Liability,2023-01-12,1261800 ,2023-07-11
Seoul,Lease,12,A,21,Liability,2023-01-13,777000 ,2024-01-12
Seoul,Lease,6,A,21,Swing,2023-01-16,1415400 ,2023-07-15
Chungcheong,Lease,12,A,30,Liability,2023-01-13,717000 ,2024-01-12
Chungcheong,Lease,12,A,30,Liability,2023-01-13,576000 ,2024-01-12
Seoul,Lease,12,A,30,Swing,2023-01-13,624000 ,2023-03-09
Seoul,Lease,12,A,30,Swing,2023-01-13,624000 ,2023-03-09
Seoul,Lease,12,A,26,Swing,2023-01-14,849000 ,2023-05-11
Seoul,Lease,12,A,26,Liability,2023-01-16,777000 ,2023-08-07
Seoul,Lease,12,A,26,Liability,2023-01-14,678000 ,2023-09-07
Seoul,Lease,12,A,24,Liability,2023-01-14,669000 ,2023-09-07
Seoul,Lease,12,A,30,Liability,2023-01-14,621000 ,2023-09-07
Seoul,Lease,6,A,30,Liability,2023-01-16,1003800 ,2023-07-15
Seoul,Lease,6,A,24,Liability,2023-01-16,930000 ,2023-07-15
Seoul,Lease,6,A,30,Swing,2023-01-17,1102200 ,2023-07-16
Seoul,Lease,12,A,21,Swing,2023-01-18,1011000 ,2023-08-17
Seoul,Lease,12,A,26,Swing,2023-01-18,849000 ,2024-01-17
Seoul,Lease,12,A,30,Liability,2023-01-18,717000 ,2024-01-17
Seoul,Lease,12,A,30,Liability,2023-01-19,498000 ,2024-01-18
Seoul,Lease,12,A,21,Liability,2023-01-18,900000 ,2024-01-17
Seoul,Lease,12,A,30,Swing,2023-01-18,624000 ,2024-01-17
Seoul,Lease,12,A,26,Swing,2023-01-18,681000 ,2024-01-17
Seoul,Lease,12,A,30,Liability,2023-01-20,576000 ,2024-01-19
Seoul,Lease,12,A,30,Liability,2023-01-19,576000 ,2024-01-18
Honam,Lease,12,A,26,Liability,2023-01-19,777000 ,2024-01-18
Seoul,Lease,12,A,30,Swing,2023-01-19,717000 ,2024-01-18
Seoul,Lease,12,A,24,Liability,2023-01-18,825000 ,2023-05-01
Seoul,Lease,6,A,21,Swing,2023-01-19,1278600 ,2023-05-16
Seoul,Lease,12,A,30,Liability,2023-01-20,717000 ,2024-01-19
Seoul,Lease,6,A,30,Liability,2023-01-20,1014000 ,2023-07-19
Seoul,Lease,12,A,24,Liability,2023-01-25,825000 ,2024-01-24
Seoul,Lease,12,A,30,Liability,2023-01-27,621000 ,2024-01-26
Seoul,Lease,12,A,21,Swing,2023-01-26,1011000 ,2023-07-28
Seoul,Lease,12,A,30,Liability,2023-02-06,576000 ,2024-02-05
Seoul,Lease,6,A,26,Liability,2023-01-27,946800 ,2023-07-26
Seoul,Lease,12,A,30,Swing,2023-01-31,780000 ,2023-06-16
Seoul,Lease,6,A,30,Liability,2023-01-31,1014000 ,2023-07-30
Seoul,Lease,12,A,30,Liability,2023-01-31,717000 ,2023-05-31
Seoul,Lease,6,A,30,Liability,2023-01-31,1003800 ,2023-07-30
Seoul,Lease,12,A,30,Swing,2023-01-31,780000 ,2024-01-30
Seoul,Lease,6,A,21,Liability,2023-01-31,1261800 ,2023-07-30
Seoul,Lease,6,A,26,Liability,2023-01-31,1105800 ,2023-07-30
Seoul,Lease,6,A,26,Liability,2023-01-31,1014000 ,2023-07-30
Seoul,Lease,6,A,30,Swing,2023-02-01,1092000 ,2023-07-31
